Rmax,Rmin,D,C,H3nr,H3r,H1nr,H1r,YAMnr,YAMr,VICnr,VICr
2.25,0.5,6,Dec,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.25,0.5,8,Dec,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.25,0.75,1,Dec,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.25,0.75,2,Dec,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00
2.25,0.75,4,Dec,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.00
2.25,0.75,6,Dec,0.01,0.00,0.00,0.00,0.09,0.04,0.02,0.00
2.25,0.75,8,Dec,0.00,0.00,0.00,0.00,0.02,0.07,0.00,0.00
2.5,0.5,1,Dec,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.5,0.5,2,Dec,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.5,0.5,4,Dec,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.00
2.5,0.5,6,Dec,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.5,0.5,8,Dec,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.5,0.75,1,Dec,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.5,0.75,2,Dec,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.5,0.75,4,Dec,0.00,0.00,0.00,0.00,0.02,0.01,0.00,0.00
2.5,0.75,6,Dec,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.5,0.75,8,Dec,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00
