Rmax,Rmin,D,C,H3nr,H3r,H1nr,H1r,YAMnr,YAMr,VICnr,VICr
2,0.75,8,S,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.25,0.5,1,S,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.25,0.5,2,S,0.32,0.00,0.03,0.04,0.01,0.07,0.03,0.00
2.25,0.5,4,S,0.00,0.00,0.00,0.02,0.00,0.02,0.00,0.00
2.25,0.5,6,S,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00
2.25,0.5,8,S,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.25,0.75,1,S,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.25,0.75,2,S,0.68,0.99,0.29,0.48,0.00,0.00,0.06,0.00
2.25,0.75,4,S,0.00,0.00,0.00,0.02,0.00,0.02,0.01,0.00
2.25,0.75,6,S,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00
2.25,0.75,8,S,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.5,0.5,1,S,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.5,0.5,2,S,0.00,0.00,0.00,0.01,0.00,0.01,0.00,0.00
2.5,0.5,4,S,0.00,0.00,0.00,0.00,0.03,0.04,0.01,0.00
2.5,0.5,6,S,0.00,0.00,0.01,0.02,0.00,0.00,0.00,0.00
2.5,0.5,8,S,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.5,0.75,1,S,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.5,0.75,2,S,0.00,0.00,0.00,0.01,0.00,0.01,0.00,0.00
2.5,0.75,4,S,0.00,0.00,0.00,0.00,0.09,0.08,0.02,0.00
2.5,0.75,6,S,0.00,0.00,0.00,0.02,0.00,0.01,0.00,0.00
2.5,0.75,8,S,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00
