Rmax,Rmin,D,C,H3nr,H3r,H1nr,H1r,YAMnr,YAMr,VICnr,VICr
1.75,0.75,6,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.75,0.75,8,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,0.5,1,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,0.5,2,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,0.5,4,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,0.5,6,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,0.5,8,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,0.75,1,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,0.75,2,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,0.75,4,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,0.75,6,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,0.75,8,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.25,0.5,1,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.25,0.5,2,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.25,0.5,4,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.25,0.5,6,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.25,0.5,8,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.25,0.75,1,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.25,0.75,2,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.25,0.75,4,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.25,0.75,6,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.25,0.75,8,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.5,0.5,1,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.5,0.5,2,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.5,0.5,4,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.5,0.5,6,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.5,0.5,8,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.5,0.75,1,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.5,0.75,2,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.5,0.75,4,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.5,0.75,6,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.5,0.75,8,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.25,0.5,1,NM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.25,0.5,2,NM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.25,0.5,4,NM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.25,0.5,6,NM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.25,0.5,8,NM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.25,0.75,1,NM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.25,0.75,2,NM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.25,0.75,4,NM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.25,0.75,6,NM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.25,0.75,8,NM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.5,0.5,1,NM,0.00,0.00,0.19,0.02,0.00,0.00,0.00,0.00
1.5,0.5,2,NM,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00
1.5,0.5,4,NM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.5,0.5,6,NM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.5,0.5,8,NM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.5,0.75,1,NM,0.00,0.00,0.32,0.15,0.00,0.01,0.01,0.00
1.5,0.75,2,NM,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00
1.5,0.75,4,NM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.5,0.75,6,NM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.5,0.75,8,NM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.75,0.5,1,NM,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00
1.75,0.5,2,NM,0.00,0.00,0.01,0.01,0.01,0.02,0.04,0.00
1.75,0.5,4,NM,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00
1.75,0.5,6,NM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.75,0.5,8,NM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.75,0.75,1,NM,0.00,0.00,0.00,0.01,0.00,0.01,0.00,0.00
1.75,0.75,2,NM,0.00,0.00,0.03,0.02,0.08,0.09,0.00,0.00
1.75,0.75,4,NM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.75,0.75,6,NM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.75,0.75,8,NM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,0.5,1,NM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,0.5,2,NM,0.00,0.00,0.00,0.00,0.03,0.09,0.05,0.00
2,0.5,4,NM,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00
2,0.5,6,NM,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00
2,0.5,8,NM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,0.75,1,NM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,0.75,2,NM,0.00,0.00,0.03,0.02,0.73,0.46,0.77,0.00
2,0.75,4,NM,0.00,0.00,0.00,0.02,0.00,0.01,0.00,0.00
2,0.75,6,NM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,0.75,8,NM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.25,0.5,1,NM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.25,0.5,2,NM,0.32,0.00,0.03,0.04,0.01,0.08,0.03,0.00
2.25,0.5,4,NM,0.00,0.00,0.00,0.02,0.00,0.02,0.00,0.00
2.25,0.5,6,NM,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00
2.25,0.5,8,NM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.25,0.75,1,NM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.25,0.75,2,NM,0.68,1.00,0.30,0.51,0.00,0.00,0.06,0.00
2.25,0.75,4,NM,0.00,0.00,0.00,0.01,0.00,0.02,0.01,0.00
2.25,0.75,6,NM,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00
2.25,0.75,8,NM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.5,0.5,1,NM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.5,0.5,2,NM,0.00,0.00,0.00,0.01,0.00,0.01,0.00,0.00
2.5,0.5,4,NM,0.00,0.00,0.00,0.00,0.03,0.04,0.01,0.00
2.5,0.5,6,NM,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00
2.5,0.5,8,NM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.5,0.75,1,NM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.5,0.75,2,NM,0.00,0.00,0.00,0.01,0.00,0.02,0.00,0.00
2.5,0.75,4,NM,0.00,0.00,0.00,0.00,0.09,0.07,0.02,0.00
2.5,0.75,6,NM,0.00,0.00,0.00,0.03,0.00,0.01,0.00,0.00
2.5,0.75,8,NM,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00
